DATA;USD/PLN;EUR/PLN;GBP/PLN;JPY/PLN
09.01.2018;3.51198;4.19186;4.75549;0.031183
10.01.2018;3.494;4.17518;4.71933;0.0313652
11.01.2018;3.46145;4.16711;4.68644;0.0311188
12.01.2018;3.42085;4.17004;4.69884;0.0308139
16.01.2018;3.403;4.17069;4.69191;0.0308106
17.01.2018;3.4241;4.16577;4.72811;0.0307502
18.01.2018;3.399;4.1607;4.72234;0.0306089
19.01.2018;3.41505;4.17314;4.73412;0.0308261
22.01.2018;3.39848;4.1669;4.75252;0.0306364
23.01.2018;3.38865;4.16721;4.74468;0.0307264
24.01.2018;3.34773;4.15274;4.76742;0.0306601
25.01.2018;3.3486;4.14338;4.72586;0.0305376
26.01.2018;3.33148;4.13735;4.71347;0.0306447
29.01.2018;3.34855;4.14635;4.71175;0.0307222
30.01.2018;3.35194;4.15817;4.74349;0.0308179
31.01.2018;3.3455;4.15255;4.7497;0.0306371
01.02.2018;3.32177;4.15361;4.73814;0.0303443
02.02.2018;3.34585;4.16934;4.72471;0.0303877
05.02.2018;3.36053;4.15892;4.69413;0.0307928
06.02.2018;3.35685;4.15688;4.68546;0.0305987
07.02.2018;3.40335;4.17041;4.72097;0.0311163
08.02.2018;3.42265;4.19196;4.7648;0.0314713
09.02.2018;3.4193;4.18355;4.72743;0.0314207
13.02.2018;3.37374;4.1665;4.68432;0.0312877
14.02.2018;3.33581;4.15444;4.67181;0.0311828
15.02.2018;3.32335;4.15451;4.6837;0.0312961
16.02.2018;3.35182;4.15838;4.69758;0.0315333
20.02.2018;3.36368;4.14931;4.70787;0.0313421
21.02.2018;3.3984;4.17176;4.7267;0.0315385
22.02.2018;3.39045;4.18032;4.7317;0.0317663
23.02.2018;3.39538;4.17374;4.74136;0.0317679
26.02.2018;3.38534;4.16847;4.7276;0.0316366
27.02.2018;3.41046;4.17299;4.74393;0.0317692
28.02.2018;3.42485;4.17609;4.71139;0.0321118
01.03.2018;3.41225;4.18837;4.70119;0.0321615
02.03.2018;3.39937;4.19116;4.68788;0.0321577
05.03.2018;3.39605;4.18883;4.70133;0.0319722
06.03.2018;3.37064;4.18682;4.68431;0.0318978
07.03.2018;3.3901;4.20738;4.71266;0.0319432
08.03.2018;3.41415;4.204;4.71626;0.0321211
09.03.2018;3.40685;4.19253;4.71719;0.0318925
12.03.2018;3.40852;4.204;4.73919;0.0320333
13.03.2018;3.39805;4.21145;4.74714;0.0319069
14.03.2018;3.3961;4.20039;4.7423;0.031941
15.03.2018;3.42322;4.21268;4.77071;0.0322061
16.03.2018;3.43204;4.21761;4.78486;0.0323744
19.03.2018;3.4242;4.22376;4.80239;0.0322908
20.03.2018;3.45434;4.23005;4.83659;0.0324257
22.03.2018;3.42676;4.22192;4.8365;0.0326813
23.03.2018;3.42256;4.22815;4.83713;0.0326811
26.03.2018;3.39175;4.22201;4.82605;0.0321603
